Timestamp,Fx,Fy,Fz,Tx,Ty,Tz,Temperature
6102553045,8.54E-05,8.02E-05,0.001489836,0.002892173,-0.002166049,-3.45E-04,23.341661
6102554155,2.64E-05,7.49E-05,0.001490233,0.003182114,-0.001470634,0.001336439,23.341661
6102555109,-8.54E-05,6.64E-05,0.001665353,0.003099392,-0.001065604,4.39E-05,23.34356
6102555967,-8.95E-05,6.04E-05,0.001659686,0.00308227,-3.83E-04,3.86E-04,23.34356
6102556967,-5.37E-05,1.15E-04,0.001457277,0.003076881,-8.73E-04,0.001188586,23.34356
6102558092,-1.67E-04,6.79E-05,0.001547799,0.003280214,1.82E-04,0.002050007,23.34356
6102558951,-2.18E-04,8.67E-05,0.001569727,0.002830853,7.98E-04,0.003202886,23.34356
6102559995,-2.66E-04,-4.45E-05,0.001604892,0.002763991,0.002067877,0.003691427,23.34356
6102561072,-2.21E-04,-1.06E-04,0.001785713,0.002464857,0.001141279,0.003327768,23.34356
6102561952,-2.36E-04,-1.20E-04,0.001727824,0.001956729,0.001294867,0.002962378,23.34356
6102563086,-1.95E-04,-4.38E-05,0.001801831,0.001501284,8.73E-04,0.00312137,23.34356
6102564067,-1.09E-04,1.27E-05,0.001599292,0.001773876,9.34E-05,0.00294255,23.34356
6102565136,-4.05E-05,1.48E-04,0.001358389,0.002278905,-3.63E-04,0.002306585,23.34356
6102566088,1.64E-05,4.03E-05,0.001618361,0.002208903,-1.20E-04,0.002472547,23.34356
6102567104,6.04E-06,-1.21E-04,0.001604321,6.04E-04,-3.60E-04,0.004146552,23.34356
6102568098,1.68E-04,-2.35E-04,0.001584345,-6.75E-04,-0.001858557,0.002847505,23.34356
6102569142,1.18E-04,-1.44E-04,0.001434081,-2.25E-04,-0.001388357,0.003716504,23.34356
6102570113,1.55E-04,-7.17E-05,0.001256327,4.20E-04,-0.001396104,0.004079436,23.34356
6102571045,2.10E-04,-6.06E-05,0.001560447,6.57E-04,-0.001163606,0.004300605,23.34356
6102572070,3.33E-04,-1.99E-04,0.001568215,5.66E-04,-0.001333123,0.004249937,23.34356
6102573075,3.93E-04,-1.06E-04,0.001275309,3.17E-04,-0.002044288,0.004868264,23.34356
6102574092,4.46E-04,-4.45E-05,0.001464707,8.01E-04,-0.00210476,0.005427057,23.34356
6102575085,5.75E-04,-1.12E-04,0.0013793,7.61E-04,-0.002315375,0.00489147,23.34356
6102576355,5.56E-04,-5.56E-05,0.001149353,0.001436214,-0.002104337,0.004592194,23.34356
6102577108,5.20E-04,5.17E-05,0.001272427,0.001672962,-0.001134248,0.003847615,23.34356
6102578076,5.31E-04,1.38E-04,0.001237393,0.002256928,-0.001253669,0.004721623,23.34356
6102579041,5.45E-04,8.22E-05,0.001388323,0.002431252,-0.001569428,0.005221938,23.34356
6102580048,6.34E-04,1.40E-05,0.001217829,0.00180955,-0.001725996,0.004810905,23.34356
6102581200,5.72E-04,1.36E-06,0.001083761,0.001868918,-0.00176736,0.004960862,23.34356
6102582067,4.84E-04,-1.03E-04,0.001406954,0.001934153,-9.72E-04,0.005160437,23.34356
6102583118,4.05E-04,-1.76E-04,0.001244869,7.03E-04,-8.54E-04,0.005387131,23.34356
6102584100,5.81E-04,-1.80E-04,9.65E-04,6.70E-04,-0.002616991,0.004645419,23.34356
6102585088,6.82E-04,-1.06E-04,8.67E-04,0.001666417,-0.002465447,0.006524148,23.34356
6102586101,6.97E-04,-3.15E-05,7.74E-04,0.001148338,-0.00291308,0.005339238,23.34356
6102587091,7.38E-04,-1.05E-05,7.99E-04,0.002102386,-0.00264413,0.004910759,23.34356
6102588104,6.89E-04,-7.27E-05,6.94E-04,0.001611484,-0.002627356,0.003865763,23.34356
6102589107,7.50E-04,4.93E-05,4.83E-04,0.001881007,-0.003149725,0.002060624,23.34356
6102590106,7.54E-04,4.60E-05,5.17E-04,0.001765057,-0.003710615,0.003859684,23.34356
6102591076,7.15E-04,3.67E-05,4.26E-04,0.001424868,-0.002845608,0.00368231,23.34356
6102592123,7.57E-04,1.58E-04,1.30E-04,0.00201125,-0.003045746,0.003706907,23.34356
6102593136,7.42E-04,1.14E-04,2.54E-04,0.002396629,-0.00325778,0.005047162,23.34356
6102594089,7.20E-04,4.89E-05,2.32E-04,0.002775157,-0.002712673,0.004895182,23.34356
6102595086,7.12E-04,1.99E-05,3.69E-04,0.002382554,-0.002017299,0.005722092,23.34356
6102596099,6.48E-04,1.26E-04,2.79E-04,0.002748705,-0.002069452,0.005927256,23.34356
6102597089,6.54E-04,1.93E-04,1.86E-04,0.003340476,-0.001779278,0.00514879,23.34356
6102598093,5.83E-04,1.54E-04,2.79E-04,0.003585382,-0.001445389,0.005997831,23.34356
6102599139,5.84E-04,8.77E-05,2.90E-04,0.003254045,-0.001942972,0.005951383,23.34356
6102600070,5.71E-04,1.51E-04,2.33E-04,0.003395459,-0.002454448,0.00529921,23.34356
6102601080,5.36E-04,1.04E-04,2.71E-04,0.003147817,-0.002762965,0.004776944,23.34356
6102602152,4.57E-04,2.23E-04,3.24E-04,0.003427256,-0.003002056,0.004499646,23.34356
6102603105,5.40E-04,1.79E-04,6.05E-04,0.003236692,-0.003175872,0.004174046,23.34356
6102604075,4.05E-04,1.61E-04,5.59E-04,0.002960731,-0.003009547,0.003496914,23.34356
6102605116,2.60E-04,1.82E-04,4.74E-04,0.003454326,-0.001786552,0.003386843,23.34356
6102606093,2.81E-04,1.93E-04,6.93E-04,0.002826113,-0.001703275,0.003382572,23.34356
6102607086,2.57E-04,1.57E-04,6.98E-04,0.002792417,-0.001641991,0.003703516,23.34356
6102608090,2.75E-04,5.92E-05,5.93E-04,0.002548694,-0.001586738,0.002000852,23.34356
6102609079,2.82E-04,1.20E-04,6.16E-04,0.003022048,-0.001522042,0.003202817,23.34356
6102610132,3.22E-04,7.73E-05,6.49E-04,0.002823306,-0.001906102,0.003339017,23.34356
6102611104,3.33E-04,1.90E-05,8.82E-04,0.002995162,-0.001886448,0.004020704,23.34356
6102612120,4.15E-04,2.40E-05,7.06E-04,0.002747915,-0.002153127,0.004308044,23.34356
6102613182,4.38E-04,1.26E-04,5.20E-04,0.003100759,-0.001704695,0.004012416,23.34356
6102614182,3.48E-04,7.29E-05,7.28E-04,0.003413211,-0.001201926,0.004549613,23.34356
6102615153,3.26E-04,8.96E-05,7.50E-04,0.002885866,-8.12E-04,0.00272188,23.34356
6102616102,2.81E-04,4.10E-05,5.30E-04,0.002637374,-6.85E-04,0.003332261,23.34356
6102617167,2.04E-04,-1.04E-04,8.01E-04,0.001354912,-6.26E-04,0.0030926,23.34356
6102618139,2.62E-04,-1.81E-04,9.22E-04,0.001140022,-0.00103033,0.003392775,23.34356
6102619152,3.81E-04,-2.90E-04,0.001126867,6.49E-04,-0.001695802,0.003836163,23.34356
6102620184,3.19E-04,-2.76E-04,0.001153737,6.61E-04,-0.001240381,0.001711611,23.34356
6102621172,2.69E-04,-2.44E-04,0.001235639,3.60E-04,-0.001093977,5.64E-04,23.34356
6102622263,2.56E-04,-3.99E-04,0.001533632,-5.46E-04,-0.001148858,-1.54E-04,23.34356
6102623138,2.13E-04,-4.90E-04,0.001565453,-0.001739511,-7.15E-04,-0.001715995,23.34356
6102624187,2.00E-04,-4.53E-04,0.001477676,-0.002007324,-8.98E-04,-0.002229965,23.34356
6102625158,2.38E-04,-4.70E-04,0.001710868,-0.001784649,-0.001622911,-0.002210836,23.34356
6102626185,2.16E-04,-5.53E-04,0.001664161,-0.002056193,-0.00156037,-0.001922684,23.34356
6102627249,3.50E-04,-5.20E-04,0.001767914,-0.002453957,-0.002351736,-0.002935338,23.34356
6102628222,3.11E-04,-4.63E-04,0.001502024,-0.001631987,-0.001125433,-0.003372561,23.34356
6102629254,2.97E-04,-4.77E-04,0.001444135,-0.002140115,-9.72E-04,-0.003737951,23.34356
6102630228,2.48E-04,-5.76E-04,0.001594674,-0.002604545,-5.33E-04,-0.002936727,23.34356
6102631258,1.72E-04,-6.18E-04,0.0013456,-0.00237958,2.04E-04,-0.001462373,23.34356
6102632298,1.27E-04,-6.95E-04,0.001180943,-0.002760242,8.19E-04,-8.50E-04,23.34356
6102633380,1.03E-04,-7.04E-04,0.001216914,-0.002384709,5.52E-04,-6.67E-04,23.34356
6102634310,1.67E-04,-7.88E-04,0.00133729,-0.001799705,6.07E-04,-0.00130417,23.34356
6102635233,1.67E-04,-7.37E-04,0.001219594,-0.002115973,2.86E-04,-9.99E-04,23.34356
6102636222,2.06E-04,-7.34E-04,0.001219715,-0.001811998,7.25E-05,-9.87E-04,23.34356
6102637267,2.45E-04,-6.63E-04,0.001123953,-0.001453743,1.97E-04,-7.93E-04,23.34356
6102638461,1.98E-04,-6.40E-04,0.001236515,-0.001608924,2.90E-04,-1.18E-04,23.34356
6102639317,2.50E-04,-7.07E-04,0.001156534,-0.002240421,-1.77E-04,-0.001018448,23.34356
6102640328,2.37E-04,-6.53E-04,9.21E-04,-0.002149875,3.11E-04,-0.001676102,23.34356
6102641382,2.38E-04,-5.88E-04,9.92E-04,-0.002104966,9.40E-04,-0.001798277,23.34356
6102642356,1.86E-04,-5.52E-04,9.92E-04,-0.002662099,6.23E-04,-0.002484141,23.34356
6102643227,3.02E-04,-5.38E-04,0.001074079,-0.002836494,-3.45E-04,-0.001680715,23.34356
6102644253,2.65E-04,-5.14E-04,0.001101423,-0.003294727,-4.87E-04,-0.001862986,23.34356
6102645351,2.04E-04,-4.76E-04,9.37E-04,-0.002995044,-8.65E-04,-0.001861609,23.34356
6102646294,1.98E-04,-5.90E-04,0.001154123,-0.002969463,-0.001314269,-0.001379968,23.34356
6102647261,1.92E-04,-4.71E-04,0.001119253,-0.001812767,-0.001429778,-0.001123723,23.34356
6102648397,2.71E-04,-3.95E-04,9.39E-04,-0.001427595,-0.001678564,-7.82E-04,23.34356
6102649331,1.42E-04,-3.51E-04,9.20E-04,-3.87E-04,-0.001595962,-5.42E-04,23.34356
6102650238,1.59E-04,-2.99E-04,9.76E-04,7.70E-04,-0.001632882,0.001522052,23.34356
6102651332,2.85E-04,-3.22E-04,8.97E-04,0.00170125,-0.002510364,0.003019355,23.34356
6102652312,2.55E-04,-2.42E-04,7.74E-04,0.001966585,-0.002068625,0.00404195,23.34356
6102653260,1.84E-04,-2.04E-04,4.44E-04,0.00284356,-0.002331837,0.005048149,23.34356
6102654328,1.39E-04,-1.63E-04,4.11E-04,0.003326263,-0.001744509,0.005261944,23.34356
